mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,mfcc_41,mfcc_42,mfcc_43,mfcc_44,mfcc_45,mfcc_46,mfcc_47,mfcc_48,mfcc_49,mfcc_50,mfcc_51,mfcc_52,mfcc_53,mfcc_54,mfcc_55,mfcc_56,mfcc_57,mfcc_58,mfcc_59,mfcc_60,mfcc_61,mfcc_62,mfcc_63,mfcc_64,mfcc_65,mfcc_66,mfcc_67,mfcc_68,mfcc_69,mfcc_70,mfcc_71,mfcc_72,mfcc_73,mfcc_74,mfcc_75,mfcc_76,mfcc_77,mfcc_78,mfcc_79,label
-465.58524,47.939762,-4.321133,18.968231,-5.5401416,3.1856914,-7.47442,-0.2168626,-13.037419,0.7006795,-0.7688947,-2.2492125,-5.3587527,3.8835547,-11.278862,6.615013,-4.4750214,2.0441964,-1.1782671,3.6508968,-1.9553958,2.3221054,-1.1232377,6.4526725,0.13302204,4.779666,-0.09669819,4.3812404,2.027214,5.5928044,4.03682,2.8155115,1.84807,7.283447,6.228575,4.727585,3.7768767,2.7578382,3.3900623,4.557003,193.06654,63.788475,37.81695,28.516443,30.203783,24.735548,19.101322,13.406024,18.659864,13.912894,8.635478,10.08788,10.849148,9.071151,13.613104,8.91056,10.192906,9.741436,8.384284,8.418414,9.628868,9.168459,12.786472,13.284946,10.156,10.932848,10.224592,10.515558,7.8823314,7.763833,6.0954185,6.93888,8.23351,8.088565,7.277686,5.202065,5.8043823,5.6683044,5.2116265,5.2338204,disgust
-706.1,70.54358,16.28219,29.985294,10.345717,16.573795,-5.463674,1.5304626,-11.65574,4.36757,-3.7606056,0.6190402,0.9919935,3.8044033,0.49272138,10.695995,-4.771498,-3.933856,4.55234,0.39347938,-4.848748,3.483844,-4.879833,-0.41762894,-1.158579,0.30941558,0.61174864,1.6174796,1.305283,-1.203838,-1.0753391,-0.070233926,0.77187115,2.881453,1.4082136,1.4780989,-0.6207269,-2.3616035,-0.35252836,-1.3122145,160.00911,60.30037,19.632168,22.955505,17.34883,16.436419,17.92578,14.640845,20.980556,11.934392,15.5233345,9.56989,9.211729,7.1584353,9.618608,8.777228,11.384674,8.658055,5.44723,6.09042,8.570006,5.0920763,7.46157,5.3776274,6.6521516,4.5306664,4.3238254,4.2324157,4.6467795,4.712862,5.1769943,4.6255126,6.438578,6.537913,8.975539,10.068616,8.567674,8.134824,6.398031,6.030593,calm
-590.00745,47.61272,5.170661,16.249762,-0.93754756,3.9266226,-6.4377313,-4.410734,-7.7625313,2.2426646,-0.31719267,-4.98315,1.4724449,0.5870711,-3.3623774,1.0444351,-4.619051,1.3518186,3.893466,-0.08903557,-3.070285,-0.60935694,-4.0642076,-1.3162127,-0.45892227,1.8194145,2.6997166,3.6672628,0.836278,0.20853023,-0.43871418,-0.9259284,0.0107022,2.00336,0.9820307,0.475216,-1.9978875,-1.4532008,0.09275455,0.75162375,139.73093,61.37638,27.94053,27.215174,20.70822,16.424555,14.881065,11.282959,14.886176,6.428395,12.113675,9.295646,6.596748,6.7452383,10.94154,7.471339,9.518751,5.2381697,4.536534,5.549098,7.188845,6.071404,10.364729,6.1829023,6.1465335,6.169363,8.6301365,11.468333,5.765083,5.378068,6.037617,5.714684,4.742085,5.002414,4.0215154,3.543948,4.5985136,3.834902,4.725131,4.6571255,angry
-408.88144,35.199722,-24.511759,11.616077,-11.6350975,-5.995111,-10.618759,1.3625035,-15.447997,-0.55839235,-1.4860042,-6.6495175,-1.5932791,0.89174193,-9.593114,0.78696555,-5.5289006,-1.6995018,0.73800933,2.9720197,-0.21535988,5.4687786,-0.23292409,6.0772877,3.1355953,5.474249,0.91963214,5.816566,3.027502,3.713656,2.322542,0.39756402,2.0586953,3.7616875,1.9926417,2.514197,0.5760262,0.41354233,0.89196146,0.24601114,199.15645,47.551117,36.77159,22.935175,25.078268,21.321888,19.156912,14.412435,18.825891,9.003803,10.866349,11.738061,8.8721,7.5190196,12.109725,6.5974627,9.033245,9.11877,7.648182,9.697716,10.681448,13.1397915,10.844005,10.620626,8.439304,10.3213005,7.8613796,8.836494,6.658642,6.535376,5.7214737,7.127614,4.6733875,6.0116487,4.7632976,5.8374677,4.856857,3.781989,3.6865458,4.678629,angry
-706.7183,65.690025,8.897208,24.49816,4.893948,11.871783,-2.7110004,-3.9654596,-10.229705,3.5755074,-0.88497627,-2.1387415,3.262287,3.0091014,-4.257172,8.767846,-0.97202617,-1.728678,4.672858,2.225657,-4.8176136,1.5842069,-3.4176598,-2.5974264,-0.58722407,0.1463462,-1.2995235,0.6707159,0.1595243,0.770236,-0.33473626,-1.544109,-0.45569023,0.5493287,0.1518933,-0.5430412,-2.604729,-3.5191414,-2.4486446,-0.3284846,172.45456,63.99023,19.727346,20.499226,17.643248,11.010911,16.649664,15.357321,20.880854,8.427155,14.052408,11.311997,10.910461,8.0988655,14.50395,6.85668,10.3884115,9.618641,4.4900503,5.59892,9.377366,5.0522227,6.778039,5.8481293,4.7865896,4.2868056,5.028355,3.6955817,4.5544605,4.290897,4.9157014,4.841674,3.561566,3.5013824,3.9272535,4.023745,6.3270454,6.056579,5.043917,7.149975,neutral
-574.92804,62.746094,-1.0885488,14.970156,-3.8486488,5.536482,-9.014643,-8.524568,-9.642069,-3.472464,-5.9997034,-2.972595,-2.3837461,3.595626,-6.364684,7.779848,-7.3771977,-0.85421544,0.557067,0.53155905,-1.3214808,0.33558568,-5.0741615,-0.8286832,-5.0152183,1.792461,-1.5664136,1.7975123,2.270457,-0.2194481,1.4713193,-0.83791614,1.4550788,2.4290743,0.94283766,1.9860202,-0.61357045,0.8041677,-1.0585254,1.6946394,169.46704,66.505066,30.198606,24.492487,23.710901,20.359669,18.62632,20.145132,17.036537,12.940417,15.318988,11.855412,12.152489,8.153824,14.933891,8.217574,12.637989,7.4363256,7.587885,6.5812826,6.8146863,5.592603,8.963914,6.460937,8.892939,3.9188547,6.9876065,5.5006957,4.8590536,7.2366095,6.737043,7.9414277,6.9542527,6.230533,5.8868036,6.962864,6.5369267,5.764097,7.101703,6.6078515,surprised
-432.86243,18.210892,-29.979565,3.5532837,-17.183538,-5.745722,-21.158077,-12.557042,-12.288825,-1.7180941,-5.6665664,3.7705781,0.15787017,13.833171,-3.4441166,-0.9098238,-4.7587123,-3.1570263,1.8993438,13.049025,6.7017894,7.8289614,5.0435557,9.985535,-1.0348375,1.4528803,1.7279217,3.8514595,0.12666592,-1.5047811,-0.13410732,0.94999623,-0.28894928,0.8305618,0.6348608,-0.89086044,1.4628506,2.9088867,-0.7212505,2.8295996,167.29773,36.456745,35.99004,16.819382,30.869131,15.214381,22.323324,20.711308,13.721301,12.755406,11.605604,16.520159,12.949657,17.15707,14.73405,9.014156,12.517455,13.121638,8.902104,14.399755,17.169525,19.190788,13.714468,14.165652,10.188765,7.3299637,6.5018473,6.1020584,8.026459,8.205554,9.101658,6.6352496,6.9963365,8.150666,6.8012037,9.826903,6.143716,6.813515,7.3230877,9.641301,fearful
-604.2761,71.55418,-4.50098,18.08917,7.2758994,10.663033,-13.026246,-0.57847214,-5.5297947,-8.6605425,-2.6314864,-2.1958141,-2.5909324,4.4457865,2.285834,3.9007266,-0.88440746,3.647597,0.15242194,7.377772,-0.70111674,-1.2531319,0.110306635,4.348287,0.3645136,2.5481658,2.2555766,5.0964594,2.3201225,2.5554397,3.4724936,1.7997581,1.0883782,2.752561,7.240665,5.4891133,7.5579357,8.103868,8.255703,10.051405,159.01288,67.50503,29.471962,22.839277,19.798243,16.93088,23.957005,15.437548,14.0437975,18.089308,11.464984,10.757411,11.735998,7.2782784,8.334094,7.248674,8.702431,7.021723,8.071561,7.374749,7.7450485,8.081535,7.2794642,8.998235,6.0975714,5.726776,7.6136975,3.8754148,6.270697,6.074822,5.557402,8.062824,6.606607,6.5624084,7.6248107,10.823789,11.111865,11.458614,10.755739,11.31393,sad
-628.635,70.33741,-0.7748903,15.300663,2.1563308,9.6783285,-13.659555,-3.504872,-5.899464,-9.716535,-6.4908733,-1.6827183,-2.179208,0.39137352,-1.2206466,0.3648368,-2.055987,0.89714956,-2.370317,3.5394602,0.30949157,-3.5285869,-2.5250266,1.5196856,-3.7735064,0.76131016,1.6278218,2.5820782,0.1609895,2.5667315,3.0247364,-0.27073115,-1.8847637,0.23280884,3.0529869,1.2795289,1.0480902,-0.88121974,0.0044569676,2.7234907,145.7724,66.347466,26.079468,25.724295,16.488474,15.075507,23.155943,13.615858,12.442801,15.751268,13.564293,9.355516,12.563692,12.052607,8.32434,9.516427,10.968184,5.3056293,7.6837287,6.258151,5.610726,6.9171996,7.436727,7.448497,7.4309573,4.524086,7.4877124,6.662318,7.685947,5.9654903,6.259641,6.010635,5.456323,5.852204,5.714135,6.1714716,6.2024837,6.749615,6.2774425,6.4753804,sad
-665.4823,63.6482,10.173589,21.277344,-2.5685823,12.861963,-2.9752133,-2.1257403,-4.3171124,1.9245757,-0.8807188,-1.9341112,-0.48206303,3.6644871,-2.4232008,3.0992956,-2.6389003,3.7304916,1.9123702,3.1389048,-1.9216304,2.5534208,-3.1389616,-0.6041347,-3.1152227,0.951225,-0.843955,1.5773406,0.1726522,1.3576132,1.0193475,0.91550213,0.8247112,1.1594223,1.5741384,2.436422,0.7354575,0.16272435,-0.524463,0.94799846,193.91557,67.60201,20.423841,25.796047,24.408218,17.809486,19.528755,18.461657,15.345165,9.899502,12.557205,11.760878,9.959062,7.229192,11.617347,7.030759,10.558925,7.3589797,7.6147747,6.3307023,9.251149,4.2669034,7.9586287,5.177652,8.27041,5.132246,6.539346,3.7635741,4.845345,5.2228985,4.5778193,6.095622,5.8796487,5.2095475,4.619162,5.551982,4.56623,4.4716,4.416901,3.3679345,surprised
